id,registration,make,model,primaryColour,fuelType
31161097,BO55KYG,"LAND ROVER","RANGE ROVER",Grey,Diesel
31177029,BO55KRN,MERCEDES-BENZ,SPRINTER,White,Diesel
31184527,BO55BZR,SEAT,IBIZA,Grey,Petrol
31197816,BO55MWG,AUDI,A3,White,Petrol
31202967,BO55RUF,FORD,"TRANSIT CUSTOM 300LIMITD EBLUE",White,Diesel
31302795,BO55RJT,"LAND ROVER","RANGE ROVER",Black,Diesel
31331637,BO55WVC,BMW,520,Black,Diesel
31440721,BO55TKE,KIA,RIO,Blue,Petrol
31566525,BO55EJW,VOLKSWAGEN,BEETLE,Pink,Petrol
31588046,BO55VDB,VAUXHALL,MERIVA,White,Petrol
31880489,BO55PYN,"ASTON MARTIN","V8 VANTAGE",Black,Petrol
32191190,BO55RAR,KAWASAKI,"ZX 600 E6F",Black,Petrol
32217764,BO55KTP,MERCEDES-BENZ,ML,Silver,Diesel
32228883,BO55LBJ,AUDI,A6,Black,Diesel
32390837,BO55PNS,DACIA,SANDERO,White,Petrol
32464405,BO55OMR,BMW,530,Blue,Diesel
32499645,BO55KAJ,VOLKSWAGEN,"AMAROK AVENT BLK ED V6TDI 4M A",Blue,Diesel
32569627,BO55KCC,BMW,X6,Black,Diesel
32573997,BO55SCA,AUDI,A8,Grey,Diesel
32672404,BO55MKC,JAGUAR,XKR,Grey,Petrol
32674651,BO55DLP,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
32730620,BO55MRF,"LAND ROVER","RANGE ROVER SPORT",Silver,Diesel
32839054,BO55OMD,BMW,X5,Black,Diesel
32839279,BO55VJN,"LAND ROVER","RANGE ROVER SPORT",Red,Diesel
32843024,BO55WWD,PORSCHE,CAYENNE,Black,Diesel
32865769,BO55GDO,MERCEDES-BENZ,CLS,White,Diesel
32901831,BO55KWD,PORSCHE,macan,White,Petrol
33009905,BO55TAO,MINI,MINI,Silver,Petrol
33039557,BO55WPY,MERCEDES-BENZ,SPRINTER,White,Diesel
33161591,BO55HWS,"HARLEY DAVIDSON","XL 883L SPORTSTER",Black,Petrol
33270706,BO55BEF,VAUXHALL,COMBO,White,Diesel
33300643,BO55KCB,TOYOTA,C-HR,Silver,"Hybrid Electric (Clean)"
33338345,BO55MTL,MERCEDES-BENZ,VITO,Black,Diesel
33380928,BO55TMD,BMW,520,Silver,Diesel
33383728,BO55EBO,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
33460533,BO55BLD,NISSAN,NAVARA,Black,Diesel
33494534,BO55NEL,MERCEDES-BENZ,X,Black,Diesel
33572029,BO55XLT,FORD,RANGER,Black,Diesel
33597631,BO55RLN,MERCEDES-BENZ,SPRINTER,White,Diesel
33622195,BO55CCA,MITSUBISHI,ASX,Blue,Diesel
33643186,BO55PHL,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
33649673,BO55XPK,AUDI,A4,Silver,Diesel
33712536,BO55ARE,PORSCHE,911,Silver,Petrol
