registration,make,model,primaryColour,fuelType
BO55SRU,"LAND ROVER",DISCOVERY,Black,Diesel
BO55SWF,FORD,"TRANSIT CUSTOM 320ACTVE EBLU A",Orange,Diesel
BO55TAS,CHRYSLER-JEEP,COMPASS,Black,Diesel
BO55TBH,MERCEDES-BENZ,ML,White,Diesel
BO55TGO,ABARTH,500,Black,Petrol
BO55THM,FORD,TRANSIT,Blue,Diesel
BO55THP,TOYOTA,"RAV4 BLACK EDITION HEV CVT",Black,"Hybrid Electric (Clean)"
BO55THZ,BMW,"5 SERIES",Blue,"Hybrid Electric (Clean)"
BO55TJW,NISSAN,QASHQAI,Black,Diesel
BO55TOH,VOLKSWAGEN,CRAFTER,Silver,Diesel
BO55TRR,FORD,RANGER,Black,Diesel
BO55TTK,FORD,TRANSIT,Black,Diesel
BO55TUZ,BMW,X6,Green,Diesel
BO55URU,AUDI,A3,White,Diesel
BO55VCB,BENTLEY,"CONTINENTAL GT",Blue,Petrol
BO55VDB,VAUXHALL,MERIVA,White,Petrol
BO55VLD,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55VMK,MG,"5 EXCLUSIVE",Silver,Electric
BO55VVC,MERCEDES-BENZ,G-CLASS,Black,Diesel
BO55WDE,BMW,X5,White,Diesel
BO55WJC,"LAND ROVER","R ROVER EVOQUE FIRST EDITION A",Grey,Petrol
BO55WTP,MITSUBISHI,"L200 BARBARIAN X DI-D AUTO",Black,Diesel
BO55WWG,BENTLEY,ARNAGE,Black,Petrol
BO55XAB,"LAND ROVER","DISCOVERY SPORT",Brown,Diesel
BO55XJR,JAGUAR,XJ,Blue,Petrol
BO55XKE,FORD,TRANSIT,White,Diesel
BO55XLS,FORD,"TRANSIT CONNECT",Silver,Diesel
BO55YHH,"LAND ROVER","RANGE ROVER",Black,Diesel
BO55YMO,BMW,"3 SERIES",Blue,Petrol
BO55YMT,TOYOTA,AYGO,Purple,Petrol
BO55ZYG,BMW,"3 SERIES",Purple,Diesel
BO55ASZ,BMW,X5,Black,Diesel
BO55PNL,"LAND ROVER",DISCOVERY,Black,Diesel
BO55SOP,VOLKSWAGEN,"POLO MATCH TSI",Grey,Petrol
