registration,make,model,primaryColour,fuelType
BO55CPK,MERCEDES-BENZ,E,Red,Diesel
BO55CWJ,PORSCHE,macan,White,Petrol
BO55CZN,MERCEDES-BENZ,"G 400 AMG LINE PREM + D 4M A",Black,Diesel
BO55DBV,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55DDP,"LAND ROVER","RANGE ROVER SPORT HSE D MHEV A",White,Diesel
BO55DDR,PEUGEOT,PARTNER,White,Diesel
BO55DGA,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55DNA,VOLKSWAGEN,TRANSPORTER,Red,Diesel
BO55DNJ,BMW,"X6 XDRIVE40D M SPORT MHEV AUTO",Grey,"Electric Diesel"
BO55DOA,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55DOT,BMW,"5 SERIES",Black,"Hybrid Electric (Clean)"
BO55DRO,JEEP,WRANGLER,Grey,Petrol
BO55DTJ,MERCEDES-BENZ,C,Red,Diesel
BO55DVP,MINI,COOPER,Blue,Diesel
BO55DWX,MERCEDES-BENZ,GLE,Black,Diesel
BO55EBK,RENAULT,TRAFIC,Black,Diesel
BO55ECT,VOLKSWAGEN,TIGUAN,Beige,Diesel
BO55EEY,AUDI,A3,Black,Diesel
BO55EMO,PEUGEOT,2008,Black,Petrol
BO55EWC,VOLKSWAGEN,AMAROK,Blue,Diesel
BO55EXT,ISUZU,D-MAX,Black,Diesel
BO55FGB,VAUXHALL,CORSA,Blue,Petrol
BO55GDN,VOLKSWAGEN,"TRANSPORTER T30 H-LINE TDI S-A",Blue,Diesel
BO55GDY,FORD,"TRANSIT CUSTOM",Blue,Diesel
BO55GHP,PORSCHE,CAYENNE,Grey,Diesel
BO55GJC,PORSCHE,BOXSTER,Blue,Petrol
BO55GLB,"LAND ROVER","RANGE ROVER",Black,Diesel
BO55GLE,FORD,TRANSIT,Black,Diesel
BO55GNW,"ROLLS ROYCE",DAWN,Black,Petrol
BO55GOA,LEXUS,RX450H,White,"Hybrid Electric (Clean)"
BO55GWF,PEUGEOT,BOXER,Black,Diesel
BO55HDO,MERCEDES-BENZ,A-CLASS,Grey,Diesel
BO55HEE,MERCEDES-BENZ,B-CLASS,Black,Diesel
BO55HYM,MERCEDES-BENZ,HYMER,Silver,Diesel
BO55JAK,BMW,"3 SERIES",White,Petrol
BO55JBT,VOLKSWAGEN,"CRAFTER CR35 TRENDLINE TDI",Silver,Diesel
BO55JDT,"LAND ROVER","DEFENDER SE D AUTO",Silver,Diesel
BO55JMM,PEUGEOT,207,White,Diesel
BO55JPA,"HARLEY DAVIDSON",FXSB,Maroon,Petrol
BO55JSE,MERCEDES-BENZ,C,Black,Diesel
BO55KBG,"LAND ROVER","RANGE ROVER",Silver,Diesel
BO55KBL,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
BO55KES,MERCEDES-BENZ,SLK,Black,Petrol
BO55KGW,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55KKX,BMW,"2 SERIES",Blue,Petrol
BO55KPE,VAUXHALL,CORSA,Grey,Diesel
BO55KTL,AUDI,R8,Grey,Petrol
BO55KWK,FORD,"TRANSIT CUSTOM",White,Diesel
BO55LCF,"LAND ROVER","R ROVER EVOQUE A-BIO D MHEV A",White,Diesel
BO55LLD,MERCEDES-BENZ,C,White,Diesel
BO55LMD,FORD,S-MAX,Black,Diesel
BO55LPF,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55LRL,"LAND ROVER","DEFENDER HSE D AUTO",Grey,Diesel
BO55LSR,AUDI,A5,Grey,Petrol
BO55LZO,VOLKSWAGEN,PASSAT,Black,Diesel
BO55MDJ,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55MFA,BMW,"5 SERIES",Black,Petrol
BO55MGH,"LAND ROVER","DEFENDER HARD TOP SE D MHEV A",Black,Diesel
BO55MJP,MERCEDES-BENZ,X,Blue,Diesel
BO55MOP,FORD,TRANSIT,Blue,Diesel
BO55MRM,VOLKSWAGEN,"TRANSPORTER T30 HIGHLINE TDI",Blue,Diesel
BO55MTO,AUDI,A4,Black,Diesel
BO55MWR,AUDI,A5,Black,Diesel
BO55NBD,NISSAN,"350 Z",Black,Petrol
BO55NHP,MERCEDES-BENZ,GLA,Grey,Diesel
BO55OKK,PORSCHE,CAYENNE,Black,Petrol
BO55ONN,TOYOTA,HILUX,Black,Diesel
BO55OSR,VAUXHALL,VIVARO,Black,Diesel
BO55OUD,VAUXHALL,INSIGNIA,Black,Diesel
BO55OUY,"LAND ROVER","DISCOVERY SPT RDYN S+ D MHEV A",Black,Diesel
BO55OWL,CITROEN,C4,Silver,Diesel
BO55PDK,MITSUBISHI,L200,Grey,Diesel
BO55PFH,MERCEDES-BENZ,"GLA 200 AMG LINE AUTO",Grey,Petrol
BO55PGA,AUDI,A3,White,Petrol
BO55PRH,MERCEDES-BENZ,SLC,Silver,Diesel
BO55PSE,JAGUAR,"I-PACE R-DYNAMIC HSE BLACK",Grey,Electric
BO55PTA,VOLKSWAGEN,TRANSPORTER,White,Diesel
BO55PWP,SSANGYONG,"MUSSO SARACEN AUTO",Blue,Diesel
BO55PWR,FORD,TRANSIT,White,Diesel
BO55RBM,KIA,"NIRO 4 EV",Blue,Electric
BO55RCA,PORSCHE,"PANAMERA 4 E-HYBRID S-A",Grey,"Hybrid Electric (Clean)"
BO55REU,BMW,"7 SERIES",Black,Diesel
BO55RKB,MERCEDES-BENZ,GLC,Black,Petrol
BO55RRA,"LAND ROVER","RANGE ROVER",White,Diesel
BO55RSG,AUDI,A6,White,Petrol
BO55RSX,BMW,"M340I XDRIVE MHEV AUTO",Grey,"Hybrid Electric (Clean)"
BO55RVR,"LAND ROVER","RANGE ROVER VELAR",Silver,Diesel
BO55RWW,MERCEDES-BENZ,X,Black,Diesel
BO55SGY,CHRYSLER-JEEP,300,Silver,Diesel
BO55SME,FORD,"TRANSIT CUSTOM",White,Diesel
BO55SND,SEAT,ALHAMBRA,Blue,Diesel
BO55SSM,TESLA,"MODEL S",Black,Electric
BO55SVD,FORD,TRANSIT,White,Diesel
BO55SVV,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55SVX,"LAND ROVER",DEFENDER,Black,Diesel
BO55TBM,ISUZU,RODEO,Silver,Diesel
BO55TKA,AUDI,Q5,Black,Diesel
BO55TSX,MERCEDES-BENZ,E,Silver,Diesel
BO55UNY,MERCEDES-BENZ,C,Grey,Petrol
BO55UWZ,BMW,335,Black,Diesel
BO55VGB,AUDI,A4,Black,Diesel
BO55VPL,BMW,X6,Silver,Diesel
BO55VRM,"LAND ROVER","RANGE ROVER VELAR",Grey,Diesel
BO55VVV,LAMBORGHINI,"URUS V8 AUTO",Black,Petrol
BO55WHF,PORSCHE,CAYENNE,Blue,Diesel
BO55WVT,"LAND ROVER",DISCOVERY,Red,Diesel
BO55XGG,MERCEDES-BENZ,C,White,Petrol
BO55XLB,"LAND ROVER","RANGE ROVER SPORT",Blue,Petrol
BO55XRK,BMW,"3 SERIES",White,Diesel
BO55XSF,VOLKSWAGEN,GOLF,Black,Diesel
BO55YEO,"LAND ROVER","RANGE ROVER",Green,Diesel
BO55YNZ,VOLVO,V60,Black,Diesel
BO55YWS,BMW,"M3 COMPETITION AUTO",Grey,Petrol
BO55ZBR,MERCEDES-BENZ,A-CLASS,White,Diesel
BO55ZPR,VOLKSWAGEN,TRANSPORTER,Black,Diesel
BO55ZRN,MERCEDES-BENZ,A-CLASS,Grey,Petrol
BO55RGF,VOLKSWAGEN,"TRANSPORTER T28 STARTLINE TDI",Black,Diesel
BO55CBO,TOYOTA,LANDCRUISER,White,Diesel
BO55XXU,FERRARI,CALIFORNIA,Red,Petrol
BO55JMF,TOYOTA,"HILUX INVINCIB X D-4D4WD DCB A",Red,Diesel
BO55VRC,VAUXHALL,MOVANO,Silver,Diesel
BO55WCK,JAGUAR,F-PACE,Blue,Petrol
BO55WGT,CITROEN,BERLINGO,White,Diesel
BO55WLM,MERCEDES-BENZ,C,Black,Diesel
BO55WRJ,CITROEN,BERLINGO,Grey,Diesel
BO55XCG,MERCEDES-BENZ,C,White,Diesel
BO55XTB,AUDI,"A1 SPORT 25 TFSI",White,Petrol
BO55XXO,MERCEDES-BENZ,A,Grey,Diesel
BO55ZCO,AUDI,A5,Silver,Diesel
BO55ZHH,PORSCHE,"CAYENNE V6 AUTO",Grey,Petrol
BO55ZME,"LAND ROVER","RANGE ROVER VOGUE SE PHEV AUTO",Black,"Hybrid Electric (Clean)"
BO55ZMS,BMW,X5,White,Diesel
BO55ZUS,BMW,740,Black,Diesel
BO55ZZE,HONDA,CIVIC,Red,Petrol
BO55KZZ,BMW,X5,Black,Diesel
BO55FPD,JCB,"3CX 14H5WA",Yellow,Diesel
BO55AAC,MERCEDES-BENZ,CLS,Silver,Diesel
BO55AHA,LEXUS,GS,Blue,"Hybrid Electric (Clean)"
BO55ANY,AUDI,"Q3 S LINE 35 TDI S-A",Black,Diesel
BO55APN,MINI,"MINI (R60)",White,Petrol
BO55ARR,AUDI,A4,White,Diesel
BO55AXX,AUDI,A6,Black,Diesel
BO55BGX,BMW,"6 SERIES",Red,Petrol
BO55BHG,FORD,RANGER,Blue,Diesel
BO55BJJ,BMW,"3 SERIES",White,Diesel
BO55BSU,AUDI,"Q3 S LINE 35 TFSI MHEV S-A",Grey,Petrol
BO55BWK,VAUXHALL,VIVARO,White,Diesel
BO55CHD,BMW,420,Blue,Diesel
BO55CPM,FORD,TRANSIT,White,Diesel
BO55CPV,BMW,430,Blue,Petrol
BO55CSA,BMW,X5,Grey,Diesel
BO55CWA,MERCEDES-BENZ,SPRINTER,Black,Diesel
BO55CWB,BMW,X3,White,Diesel
BO55DBA,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
BO55DEF,"LAND ROVER",DEFENDER,Black,Diesel
BO55DGD,BMW,116,White,Diesel
BO55DKD,"LAND ROVER",DEFENDER,Black,Diesel
BO55DNL,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
BO55DNO,AUDI,A4,Black,Diesel
BO55DPK,JAGUAR,F-PACE,Red,Petrol
BO55DPX,NISSAN,GT-R,Blue,Petrol
BO55DTX,BMW,M3,Black,Petrol
BO55EDL,VOLKSWAGEN,AMAROK,Blue,Diesel
BO55EDZ,BMW,328,Red,Petrol
BO55ELT,BMW,420,White,Petrol
BO55ETM,FORD,FIESTA,Red,Petrol
BO55FAC,FORD,TRANSIT,Silver,Diesel
BO55FBC,MERCEDES-BENZ,"AMG G 63 4MATIC AUTO",Black,Petrol
BO55FFL,BMW,740,Blue,Diesel
BO55FMU,VOLKSWAGEN,POLO,White,Petrol
BO55FNC,ISUZU,D-MAX,White,Diesel
BO55FTB,MERCEDES-BENZ,"V 300 AMG LINE D AUTO",Grey,Diesel
BO55FUD,CITROEN,BERLINGO,White,Diesel
BO55GDB,VOLKSWAGEN,AMAROK,White,Diesel
BO55GMJ,AUDI,"Q3 TECHNIK 35 TFSI",White,Petrol
BO55GMX,BMW,"1 SERIES",Grey,Petrol
BO55GTD,MERCEDES-BENZ,ML,Black,Diesel
BO55GTR,VAUXHALL,"VIVARO-E 3100 ELITE",White,Electric
BO55GUZ,"MOTO GUZZI",CALIFORNIA,Black,Petrol
BO55GWG,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55HBF,"LAND ROVER","RANGE ROVER EVOQUE",Grey,Diesel
BO55HWB,FORD,"TRANSIT 350 LEADER ECOBLUE",Black,Diesel
BO55JBM,VOLKSWAGEN,TRANSPORTER,Silver,Diesel
BO55JBU,BMW,"1 SERIES",Black,Petrol
BO55JDA,AUDI,A8,Grey,Diesel
BO55JFC,AUDI,A7,White,Diesel
BO55JFP,"LAND ROVER","RANGE ROVER EVOQUE",White,Diesel
BO55JFU,BMW,"M340D XDRIVE MHEV AUTO",Grey,"Electric Diesel"
BO55KCE,"LAND ROVER","DISCOVERY SPORT",Red,Diesel
BO55KEB,TESLA,"MODEL 3 PERFORMANCE AWD",White,Electric
BO55KFB,NISSAN,PRIMASTAR,Blue,Diesel
BO55KNN,TOYOTA,UNKNOWN,Black,Petrol
BO55KYL,BMW,X6,Blue,Diesel
BO55LER,SEAT,LEON,Grey,Petrol
BO55LNZ,VOLKSWAGEN,TRANSPORTER,Black,Diesel
BO55LPM,VOLKSWAGEN,CRAFTER,Black,Diesel
BO55LZR,PORSCHE,CAYENNE,Black,Diesel
BO55MAT,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55MBM,VOLKSWAGEN,AMAROK,Blue,Diesel
BO55MDU,FORD,TRANSIT,Silver,Diesel
BO55MOV,"DAF TRUCKS",UNKNOWN,White,Diesel
BO55MVL,BMW,"M5 COMPETITION AUTO",Grey,Petrol
BO55NJY,VAUXHALL,ASTRA,Silver,Diesel
BO55NKP,VOLKSWAGEN,POLO,White,Petrol
BO55NKR,VOLKSWAGEN,AMAROK,Black,Diesel
BO55NLT,FORD,TRANSIT,Silver,Diesel
BO55ODL,"LAND ROVER","RANGE ROVER",White,Diesel
BO55OFR,JAGUAR,F-PACE,Grey,Diesel
BO55OSG,MERCEDES-BENZ,VITO,Silver,Diesel
BO55OSS,VOLKSWAGEN,TRANSPORTER,Blue,Diesel
BO55OXX,YAMAHA,FJR1300A,Black,Petrol
BO55PHB,VOLKSWAGEN,TRANSPORTER,Purple,Diesel
BO55PKJ,"SMART (MCC)",FORTWO,White,Petrol
BO55PMB,BMW,"3 SERIES",Blue,Diesel
BO55PME,VAUXHALL,VIVARO,Silver,Diesel
BO55PMJ,BENTLEY,CONTINENTAL,Black,Petrol
BO55PPG,HONDA,CIVIC,Blue,Petrol
BO55PTB,"LAND ROVER",DISCOVERY,Black,Diesel
BO55PUL,"LAND ROVER","R ROVER SPRT HSE SILVR P400E A",Red,"Hybrid Electric (Clean)"
BO55RBB,VOLKSWAGEN,TRANSPORTER,Purple,Diesel
BO55RFY,BMW,"X5 M50I AUTO",Black,Petrol
BO55RGM,JAGUAR,XK,Black,Petrol
BO55RLF,MERCEDES-BENZ,SLC,White,Petrol
BO55RNP,MERCEDES-BENZ,C,Grey,Petrol
BO55RUF,FORD,"TRANSIT CUSTOM 300LIMITD EBLUE",White,Diesel
BO55RUP,MERCEDES-BENZ,CLA,Red,Diesel
BO55SBF,FORD,TRANSIT,White,Diesel
BO55SBY,TOYOTA,C-HR,Blue,"Hybrid Electric (Clean)"
BO55SGO,MERCEDES-BENZ,V,Silver,Diesel
BO55SHT,NISSAN,JUKE,Black,Petrol
BO55SJP,MERCEDES-BENZ,V,Black,Diesel
BO55SLN,"LAND ROVER","RANGE ROVER SPORT",Blue,Diesel
BO55SLZ,VAUXHALL,"MOKKA ELITE NAV PREMIUM TURBO",Green,Petrol
BO55SXL,"LAND ROVER","DEFENDER X-DYNAMIC S D MHEV A",Black,Diesel
BO55TJF,JAGUAR,F-TYPE,Red,Petrol
BO55TTF,FORD,MONDEO,Orange,Diesel
BO55TTH,BMW,750,Grey,Petrol
BO55TVB,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
BO55TXM,MERCEDES-BENZ,E,White,Diesel
BO55UHC,MERCEDES-BENZ,E,Blue,Diesel
BO55VBX,AUDI,Q7,Grey,Diesel
BO55VOS,AUDI,"RS Q8 VSPRUNG TFSI MHEV QUAT A",Black,Petrol
BO55KFL,MERCEDES-BENZ,CLA,White,Petrol
BO55HBD,VOLKSWAGEN,"TRANSPORTER SE TDI S-A",Silver,Diesel
BO55GGZ,"DAF TRUCKS","FA LF45.150",Silver,Diesel
BO55HPY,MERCEDES-BENZ,SLK,Black,Petrol
BO55CVL,PORSCHE,"718 CAYMAN GTS S-A",Grey,Petrol
BO55ZYM,BENTLEY,CONTINENTAL,Blue,Petrol
BO55LCT,MERCEDES-BENZ,B-CLASS,Silver,Diesel
BO55ROF,FORD,"RANGER RAPTOR ECOBOOST 4X4 A",Orange,Petrol
BO55LUY,MINI,ROADSTER,Grey,Petrol
BO55FEV,MITSUBISHI,L200,Red,Diesel
BO55LKW,VAUXHALL,"CORSA SRI NAV TURBO",Grey,Petrol
BO55AKD,FIAT,DOBLO,Multi-colour,Diesel
BO55AKJ,MERCEDES-BENZ,GLC,White,Diesel
BO55ALE,BMW,"3 SERIES",Black,Petrol
BO55ARC,BMW,M4,Grey,Petrol
BO55ATC,"LAND ROVER","RANGE ROVER EVOQUE",Blue,Diesel
BO55BAN,VOLVO,UNKNOWN,Blue,Diesel
BO55BAP,"LAND ROVER","RANGE ROVER EVOQUE",White,Diesel
BO55BCR,NISSAN,NAVARA,Blue,Diesel
BO55BHF,ISUZU,"D-MAX EIGER D/C INTERCOOLER TD",Green,Diesel
BO55BHY,"LAND ROVER","RANGE ROVER SPORT",Grey,Petrol
BO55BXH,YAMAHA,YZF,White,Petrol
BO55BYU,BMW,118,Grey,Petrol
BO55CAE,FORD,"TRANSIT CUSTOM",Blue,Diesel
BO55CDJ,"LAND ROVER","RANGE ROVER SPORT",Black,Petrol
BO55CFM,MINI,"COOPER S ELECTRIC LEVEL 3",Black,Electric
BO55CFU,AUDI,Q7,Silver,Diesel
BO55CGD,FORD,"TOURNEO CONNECT",Red,Diesel
BO55CHZ,"LAND ROVER","RANGE ROVER EVOQUE",White,Diesel
BO55CRE,FORD,TRANSIT,White,Diesel
BO55CVT,VOLKSWAGEN,"GOLF STYLE TSI",Grey,Petrol
BO55CXN,BMW,"1 SERIES",Blue,Diesel
BO55DJA,KIA,"EV6 GT-LINE S",Black,Electric
BO55DKB,VOLKSWAGEN,CRAFTER,White,Diesel
BO55DMS,FORD,S-MAX,Silver,Diesel
BO55DOL,VOLVO,XC60,Grey,Diesel
BO55DVV,MERCEDES-BENZ,"E 220 AMG LNE NGT ED PRM + D A",Silver,Diesel
BO55DXX,BMW,M6,Black,Petrol
BO55EJA,MERCEDES-BENZ,E,Grey,Diesel
BO55ETH,FORD,FOCUS,Grey,Diesel
BO55FBF,FORD,RANGER,Black,Diesel
BO55FJF,FORD,FIESTA,Red,Petrol
BO55FKG,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
BO55FWJ,"LAND ROVER","RANGE ROVER",Silver,Diesel
BO55FYC,"LAND ROVER","RANGE ROVER VELAR",Blue,Diesel
BO55FZN,NISSAN,MICRA,White,Petrol
BO55GAN,"LAND ROVER",DISCOVERY,Red,Diesel
BO55GGX,"LAND ROVER","DEFENDER S D AUTO",Black,Diesel
BO55HDH,"LAND ROVER","RANGE ROVER SPORT",Gold,Diesel
BO55HGA,PORSCHE,"PANAMERA D V6 TIPTRONIC AUTO",White,Diesel
BO55HLB,MERCEDES-BENZ,SPRINTER,White,Diesel
BO55HNK,AUDI,Q5,Black,Diesel
BO55HUC,"LAND ROVER","DEFENDER X-DYNAMIC SE D MHEV A",Grey,Diesel
BO55HWE,BMW,I8,Grey,"Hybrid Electric (Clean)"
BO55HZP,"LAND ROVER","RANGE ROVER EVOQUE",Grey,Diesel
BO55JDD,FORD,"FOCUS ST",Black,Petrol
BO55JSS,BENTLEY,CONTINENTAL,Blue,Petrol
BO55KOT,PORSCHE,CAYENNE,Black,"Hybrid Electric (Clean)"
BO55KRH,FORD,RANGER,Black,Diesel
BO55KSL,TESLA,"MODEL S",Black,Electric
BO55KTS,VOLKSWAGEN,CALIFORNIA,Grey,Diesel
BO55KWB,BMW,X5,White,Diesel
BO55LBM,"LAND ROVER","RANGE ROVER EVOQUE",Red,Diesel
BO55LMY,"LAND ROVER",FREELANDER,Black,Diesel
BO55LNP,"LAND ROVER","RANGE ROVER SPORT",Blue,Diesel
BO55LUF,"LAND ROVER",DISCOVERY,Black,Diesel
BO55LVM,BENTLEY,CONTINENTAL,White,Petrol
BO55LVV,KIA,SPORTAGE,White,Diesel
BO55LWK,FORD,MUSTANG,Blue,Petrol
BO55MCF,BENTLEY,"CONTINENTAL GT",White,Petrol
BO55MEZ,BMW,"5 SERIES",Black,Diesel
BO55MMW,FORD,RANGER,Black,Diesel
BO55MOT,"LAND ROVER","R-ROVER SPORT AUTOBIO D MHEV A",Black,Diesel
BO55MXM,"LAND ROVER",DEFENDER,Red,Diesel
BO55NCF,HONDA,CIVIC,Red,Diesel
BO55NEY,"LAND ROVER",DEFENDER,Grey,Diesel
BO55NFV,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55NOD,FORD,"TRANSIT CUSTOM",Silver,Diesel
BO55NOV,NISSAN,"JUKE TEKNA + DIG-T",Red,Petrol
BO55NWL,FORD,"TRANSIT CUSTOM 320LMTD EBLUE A",Black,Diesel
BO55OAT,MINI,"JOHN COOPER WORKS",Grey,Petrol
BO55OBJ,MITSUBISHI,L200,Black,Diesel
BO55OMX,BMW,"3 SERIES",Grey,Diesel
BO55OPA,FORD,TRANSIT,Blue,Diesel
BO55ORZ,BMW,X6,White,Diesel
BO55OTN,BMW,116,Black,Petrol
BO55PAP,BMW,M3,White,Petrol
BO55PBE,"LAND ROVER",DISCOVERY,Silver,Diesel
BO55PBN,FORD,TRANSIT,Black,Diesel
BO55PFA,BMW,"840I AUTO",Black,Petrol
BO55PFR,FORD,RANGER,Silver,Diesel
BO55PKA,LEXUS,"RXL 450H TAKUMI CVT",Black,"Hybrid Electric (Clean)"
BO55PMK,JAGUAR,E-PACE,Red,Diesel
BO55PRY,AUDI,A4,Red,Petrol
BO55RHL,"LAND ROVER","DISCOVERY R-DYNAM HSE D MHEV A",Grey,Diesel
BO55RHN,FORD,"TRANSIT CONNECT",Black,Diesel
BO55RJP,KIA,SPORTAGE,Black,Diesel
BO55RLB,KIA,SPORTAGE,Black,Petrol
BO55RPB,"HARLEY DAVIDSON","",Red,Petrol
BO55SBV,MERCEDES-BENZ,"CLA 220 AMG LINE PREMIUM D A",Grey,Diesel
BO55SNC,"LAND ROVER","RANGE ROVER SPORT",Blue,Petrol
BO55SOH,VOLKSWAGEN,SCIROCCO,Black,Petrol
BO55TNK,VAUXHALL,INSIGNIA,Grey,Diesel
BO55TOT,MERCEDES-BENZ,C,Black,Diesel
BO55TWN,VAUXHALL,CORSA,White,Diesel
BO55TYL,VOLKSWAGEN,TIGUAN,Silver,Diesel
BO55UBC,MASERATI,QUATTROPORTE,Grey,Diesel
BO55UKK,SEAT,LEON,White,Petrol
BO55UTB,FORD,RANGER,White,Diesel
BO55WEO,PORSCHE,911,White,Petrol
BO55WTB,NISSAN,NAVARA,Black,Diesel
BO55XCH,"LAND ROVER","RANGE ROVER EVOQUE",Black,Diesel
BO55XRJ,FORD,RANGER,White,Diesel
BO55XTL,VOLKSWAGEN,TIGUAN,Silver,Petrol
BO55YDW,BMW,520,Black,Diesel
BO55YPG,NISSAN,NV400,White,Diesel
BO55YSJ,BMW,435,Blue,Diesel
BO55YTL,JEEP,"GRAND CHEROKEE",Black,Petrol
BO55YUR,MERCEDES-BENZ,E,Silver,Diesel
BO55ZDF,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55ZDR,MERCEDES-BENZ,C,White,Diesel
BO55ZOA,KIA,PICANTO,Black,Petrol
BO55ZZL,"LAND ROVER","RANGE ROVER SPORT",Black,"Hybrid Electric (Clean)"
BO55ZZM,TOYOTA,UNKNOWN,Black,Petrol
BO55RPP,VAUXHALL,VIVARO,White,Diesel
BO55RKV,PORSCHE,CAYENNE,Brown,Petrol
BO55BWM,BMW,420,Blue,Diesel
BO55ABK,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
BO55AGE,MERCEDES-BENZ,C,Black,"Hybrid Electric (Clean)"
BO55ARG,FORD,RANGER,Blue,Diesel
BO55AVO,NISSAN,NAVARA,White,Diesel
BO55AVS,"LAND ROVER",FREELANDER,Grey,Diesel
BO55BAW,VOLKSWAGEN,GOLF,White,Diesel
BO55BBP,AUDI,A5,Black,Petrol
BO55BCD,"LAND ROVER","RANGE ROVER",Grey,Diesel
BO55BJM,MAZDA,cx-3,Silver,Petrol
BO55BKG,MERCEDES-BENZ,GL,Grey,Petrol
BO55BRJ,JEEP,WRANGLER,Orange,Diesel
BO55BVB,FORD,FOCUS,Silver,Petrol
BO55BZY,VOLKSWAGEN,GOLF,Blue,Diesel
BO55CAJ,AUDI,A6,Grey,Diesel
BO55CLR,AUDI,A5,White,Diesel
BO55CRP,BMW,X3,White,Diesel
BO55CUX,MERCEDES-BENZ,C,White,Diesel
BO55DBN,AUDI,A7,Blue,Petrol
BO55DGK,AUDI,A5,Black,Diesel
BO55DOX,BMW,"M135I XDRIVE AUTO",Black,Petrol
BO55DPT,BMW,"I5 EDRIVE40 M SPORT",Black,Electric
BO55DTW,"LAND ROVER","DISCOVERY LUXURY HSE SD6 AUTO",Silver,Diesel
BO55EJS,"LAND ROVER","DISCOVERY HSE SDV6 AUTO",Black,Diesel
BO55EJT,NISSAN,QASHQAI,Grey,Petrol
BO55ERN,JAGUAR,XF,White,Diesel
BO55FCP,TOYOTA,"HILUX INVINCIB X D-4D4WD DCB A",Blue,Diesel
BO55FGD,"LAND ROVER","RANGE ROVER SPORT",Red,Diesel
BO55FJP,MERCEDES-BENZ,GLA,Black,Diesel
BO55FLF,KIA,SPORTAGE,Black,Petrol
BO55FTZ,MERCEDES-BENZ,B,Grey,Diesel
BO55GEZ,BMW,"I7 XDRIVE60 EXCELLENCE",Silver,Electric
BO55GHL,"LAND ROVER","RANGE ROVER SPORT",Grey,Diesel
BO55GHM,MERCEDES-BENZ,SPRINTER,Silver,Diesel
BO55GOL,"LAND ROVER","RANGE ROVER SPORT",White,Diesel
BO55GSX,SUZUKI,GSX,Grey,Petrol
BO55GWH,AUDI,Q7,Silver,Diesel
BO55GXR,SUZUKI,"GSXR 600 K7 ISLE OF MAN",Black,Petrol
BO55HJG,JAGUAR,I-PACE,Black,Electric
BO55HTF,FORD,RANGER,White,Diesel
BO55JBW,NISSAN,NAVARA,Grey,Diesel
BO55JJG,BMW,"5 SERIES",Blue,"Hybrid Electric (Clean)"
BO55JMP,VOLKSWAGEN,"AMAROK PANAMERICANA V6TDI 4M A",Black,Diesel
BO55JYN,VOLKSWAGEN,GOLF,Black,Diesel
BO55KDF,MERCEDES-BENZ,C,Silver,Petrol
BO55KMB,FORD,FIESTA,Red,Petrol
BO55KNP,TRIUMPH,ROCKET,Black,Petrol
BO55KOW,MERCEDES-BENZ,VITO,Silver,Diesel
BO55KZF,MERCEDES-BENZ,C,Silver,Diesel
BO55LDG,MERCEDES-BENZ,C,Blue,Diesel
BO55LEO,HONDA,NSS,Black,Petrol
BO55LFR,AUDI,A5,Black,Diesel
BO55LLR,TOYOTA,AYGO,White,Petrol
BO55LMF,VOLKSWAGEN,CRAFTER,White,Diesel
BO55LNH,BMW,525,Silver,Petrol
BO55LTE,RENAULT,TRAFIC,Black,Diesel
BO55MBR,MERCEDES-BENZ,E,Grey,Petrol
BO55MDP,"LAND ROVER","DISCOVERY SPORT",Red,Diesel
BO55MEH,JAGUAR,XF,Grey,Diesel
BO55MLV,AUDI,A1,White,Petrol
BO55MSV,AUDI,A3,Grey,Petrol
BO55MXW,VOLKSWAGEN,POLO,Silver,Petrol
BO55NAM,VOLKSWAGEN,AMAROK,Blue,Diesel
BO55NAN,KIA,PICANTO,White,Petrol
BO55NEC,BMW,"3 SERIES",Blue,Diesel
BO55NGP,MERCEDES-BENZ,C,Blue,Petrol
BO55NPJ,"LAND ROVER","DISCOVERY SPORT",Orange,Diesel
BO55NSA,MERCEDES-BENZ,S-Class,Silver,Diesel
BO55OFH,BMW,"7 SERIES",Black,Diesel
BO55OGJ,FORD,RANGER,White,Diesel
BO55OHN,FORD,RANGER,White,Diesel
BO55OKH,"LAND ROVER","RANGE ROVER VELAR",White,Diesel
BO55OML,MINI,MINI,Black,Diesel
BO55OXF,"LAND ROVER","RANGE ROVER SPORT",Black,Diesel
